ticker,mode,hold_days,signal_count,trades,win_rate,avg_return,best_trade,worst_trade,total_return
MSTR,XG_only,20,31,5,60.0,18.148211477192596,76.98411744626526,-25.62448253485198,80.04365246826428
BTDR,strong_signal,10,12,5,60.0,13.331405999004295,41.48648827157808,-20.581657421975784,67.58571997038756
MSTR,XG_or_juAccel,10,34,10,60.0,5.475611838087252,42.35400444133373,-40.73444272149662,29.296312530325743
TSLA,juAccel_only,20,9,5,60.0,4.927683646451626,20.680042863654926,-14.278105277420394,22.178675640134294
COIN,strong_signal,10,19,5,60.0,4.062071506348565,29.064142831894912,-33.95646243431614,4.101767034390913
TSLA,XG_or_juAccel,5,21,10,60.0,3.9880762452134277,33.33832734071509,-18.025690588964082,36.66018618449263
AAPL,juAccel_only,5,29,10,60.0,0.5988966795172579,3.9901723424789814,-6.500691562932226,5.7237580131554555
AAPL,XG_or_juAccel,5,29,10,60.0,0.5988966795172579,3.9901723424789814,-6.500691562932226,5.7237580131554555
MSTR,strong_signal,10,17,5,60.0,-0.15790967177077136,29.389471756784545,-40.73444272149662,-17.082653230261478
TSLA,juAccel_only,10,9,5,60.0,-1.1436749336871643,23.21659209869722,-28.043665347515557,-13.558958146339418
PLTR,XG_or_juAccel,5,9,5,60.0,-2.1220487036642637,4.452694877556795,-16.005473125203153,-11.462517324652676
BTDR,XG_or_juAccel,3,70,27,59.25925925925925,1.4557835043673302,21.153849680748337,-14.849781964667386,37.89449423039073
MSTR,XG_only,5,31,12,58.333333333333336,3.742491197293784,23.38985870486292,-18.823016267889635,41.54591140221855
AAPL,juAccel_only,3,29,12,58.333333333333336,0.5997362633378152,4.567268627253895,-5.881053877074693,6.91552811712588
AAPL,XG_or_juAccel,3,29,12,58.333333333333336,0.5997362633378152,4.567268627253895,-5.881053877074693,6.91552811712588
BTDR,strong_signal,5,12,7,57.14285714285714,9.43136192452596,47.027026678716474,-11.931390350494164,68.22514068038326
GOOGL,juAccel_only,20,23,7,57.14285714285714,6.113875606697756,16.48507310351599,-8.966820960885824,47.12030734490875
GOOGL,XG_or_juAccel,20,23,7,57.14285714285714,6.113875606697756,16.48507310351599,-8.966820960885824,47.12030734490875
META,juAccel_only,5,18,7,57.14285714285714,4.830417222130103,25.82386473824596,-2.6324251196151116,35.9168455378887
META,juAccel_only,10,18,7,57.14285714285714,4.667303210326955,25.35147042822432,-4.723267955249321,33.67228871565926
META,XG_or_juAccel,10,22,7,57.14285714285714,4.667303210326955,25.35147042822432,-4.723267955249321,33.67228871565926
MSTR,XG_or_juAccel,5,34,14,57.14285714285714,3.0059852186980804,23.38985870486292,-18.823016267889635,37.159630924577456
COIN,strong_signal,5,19,7,57.14285714285714,2.270418952668248,16.004207639230227,-21.79875357760941,10.53880693010969
BTDR,juAccel_only,5,34,7,57.14285714285714,0.05455568405221545,0.3009000217422342,-0.12000083923340288,0.3819106285423146
BTDR,XG_or_juAccel,5,70,23,56.52173913043478,3.585933392030267,43.13346201480206,-24.20600675676229,84.12607716795195
BTDR,XG_only,5,36,16,56.25,5.1309111392706654,43.13346201480206,-24.20600675676229,83.42555547612575
COIN,XG_or_juAccel,3,36,16,56.25,4.255802160101913,26.09511788955883,-13.077446710695062,76.69307767085434
BTDR,XG_only,3,36,18,55.55555555555556,2.1390081970013366,21.153849680748337,-14.849781964667386,36.791597201644244
MSFT,juAccel_only,20,50,11,54.54545454545454,1.7643616598066492,16.1453090009255,-12.525579679855737,17.857516213903125
MSFT,XG_or_juAccel,20,50,11,54.54545454545454,1.7643616598066492,16.1453090009255,-12.525579679855737,17.857516213903125
MSFT,juAccel_only,3,50,22,54.54545454545454,1.1225151078007516,8.517672912519703,-4.446474877101014,26.498711011707154
MSFT,XG_or_juAccel,3,50,22,54.54545454545454,1.1225151078007516,8.517672912519703,-4.446474877101014,26.498711011707154
COIN,XG_or_juAccel,10,36,11,54.54545454545454,-2.344779899113155,29.064142831894912,-56.16483077685849,-51.495849524236334
MSTR,XG_only,3,31,15,53.333333333333336,4.6167290268406225,33.60084542562698,-9.438749870877505,82.38041481127061
MSTR,XG_or_juAccel,3,34,17,52.94117647058824,4.242808509225203,33.60084542562698,-9.438749870877505,87.30922902729775
COIN,strong_signal,20,19,4,50.0,12.8088140034173,56.75814571506819,-23.368209493475444,41.02903700881304
MSTR,XG_or_juAccel,20,34,6,50.0,10.056794946091582,76.98411744626526,-30.400287709413487,25.30986411537541
META,XG_only,5,4,2,50.0,6.638123523422157,18.09346544575321,-4.817218398908896,12.40464530039127
META,XG_only,3,4,2,50.0,5.683783240344014,15.663773092091326,-4.2962066114032975,10.694618425510383
META,XG_or_juAccel,5,22,8,50.0,3.624462769500229,25.82386473824596,-4.817218398908896,29.369434247420955
COIN,strong_signal,3,19,8,50.0,2.2085748541508425,26.09511788955883,-13.077446710695062,12.206225925075408
MSTR,juAccel_only,3,3,2,50.0,1.4384046271095408,5.854379907858909,-2.977570653639827,2.702490956130088
META,XG_or_juAccel,3,22,10,50.0,1.2372120485103812,12.565290082403768,-9.835433159893048,10.521124763773138
COIN,XG_or_juAccel,20,36,6,50.0,0.6839926538537687,48.66158305522088,-45.18972134127429,-23.445437487775767
META,juAccel_only,3,18,8,50.0,0.5128796267629173,8.752004398760649,-9.835433159893048,2.5915636165823708
BTDR,juAccel_only,20,34,2,50.0,0.1615201392318355,0.5840846839717306,-0.26104440550805963,0.321515558072738
GOOGL,juAccel_only,5,23,8,50.0,0.151815950817902,7.925819232403297,-4.619031196240209,0.5510345574290643
GOOGL,XG_or_juAccel,5,23,8,50.0,0.151815950817902,7.925819232403297,-4.619031196240209,0.5510345574290643
COIN,juAccel_only,5,9,4,50.0,-1.3737589804232009,6.201542762521828,-10.23737809057299,-6.512781858867922
MSTR,juAccel_only,5,3,2,50.0,-1.4130506528761413,3.997173187010028,-6.823274492762311,-3.098839404253073
MSTR,juAccel_only,10,3,2,50.0,-1.419119344495562,15.243237020542244,-18.08147570953337,-5.594440888207064
MSFT,juAccel_only,5,50,17,47.05882352941176,0.08807953280705373,7.950760382477262,-6.2767646331388764,0.3566439344421912
MSFT,XG_or_juAccel,5,50,17,47.05882352941176,0.08807953280705373,7.950760382477262,-6.2767646331388764,0.3566439344421912
MSTR,strong_signal,3,17,9,44.44444444444444,4.615298214551781,33.60084542562698,-9.438749870877505,39.872022369835406
AMD,juAccel_only,10,14,7,42.857142857142854,-0.5691708347480039,8.97544250072151,-12.80543180644952,-5.724309732784338
AMD,XG_or_juAccel,10,14,7,42.857142857142854,-0.5691708347480039,8.97544250072151,-12.80543180644952,-5.724309732784338
TSLA,XG_only,5,12,5,40.0,6.721079503402153,33.33832734071509,-6.907579286064758,32.73105745810716
PLTR,XG_or_juAccel,3,9,5,40.0,-0.03557842118800725,7.187019592996258,-10.670311068081972,-1.1526039173437752
NVDA,juAccel_only,10,4,3,33.33333333333333,-0.41636349134022943,13.007397761698192,-9.69319395067554,-2.6036241521315895
NVDA,XG_or_juAccel,10,4,3,33.33333333333333,-0.41636349134022943,13.007397761698192,-9.69319395067554,-2.6036241521315895
GOOGL,juAccel_only,3,23,9,33.33333333333333,-1.0067092869824532,9.004120920867887,-5.991129520704186,-9.43062087735953
GOOGL,XG_or_juAccel,3,23,9,33.33333333333333,-1.0067092869824532,9.004120920867887,-5.991129520704186,-9.43062087735953
PLTR,juAccel_only,5,4,3,33.33333333333333,-4.380273980744417,4.452694877556795,-16.005473125203153,-13.65871606917044
PLTR,juAccel_only,10,4,3,33.33333333333333,-7.465010317294447,4.63821903882542,-14.842681896580345,-21.755560784905736
PLTR,juAccel_only,20,4,3,33.33333333333333,-10.647870705310195,3.6641972870884443,-19.493840287991382,-29.99202018286554
PLTR,XG_or_juAccel,20,9,3,33.33333333333333,-10.647870705310195,3.6641972870884443,-19.493840287991382,-29.99202018286554
COIN,juAccel_only,20,9,3,33.33333333333333,-17.501344307839016,6.683966730946911,-45.18972134127429,-49.71154293815548
COIN,juAccel_only,3,9,4,25.0,0.34289105397329867,10.069080937332364,-4.243920688269565,0.7399141093786143
PLTR,XG_or_juAccel,10,9,4,25.0,-9.308184292996188,4.63821903882542,-14.842681896580345,-33.36524080920724
COIN,juAccel_only,10,9,4,25.0,-18.098177133617806,10.47495417422084,-56.16483077685849,-64.179074906212
